transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score
TXN0000000691,ACC000007596,CUST0003566,2027-11-28 20:42:00,BILL_PAYMENT,BRANCH,16480.59,INR,BEN0004217,Kolkata,Kochi,DEV0011175,139.128.250.4,SUCCESS,,SETTLED,N,30
TXN0000001274,ACC000010698,CUST0007082,2027-09-01 23:41:00,CARD_PURCHASE,ATM,4595.84,INR,BEN0014755,Kolkata,Kochi,DEV0002967,128.57.72.138,SUCCESS,,PENDING,N,40
TXN0000004142,ACC000009351,CUST0002937,2027-01-07 07:16:00,ATM_WITHDRAWAL,MOBILE,34683.08,USD,BEN0008331,Jaipur,Kolkata,DEV0010265,66.140.88.158,SUCCESS,,SETTLED,N,30
TXN0000004306,ACC000007486,CUST0007936,2027-11-19 06:32:00,RTGS,POS,4728.58,INR,BEN0011861,Chennai,Lucknow,DEV0001835,91.110.139.105,SUCCESS,,SETTLED,N,40
TXN0000004643,ACC000007219,CUST0006430,2027-12-03 21:06:00,IMPS,MOBILE,20722.17,INR,BEN0011604,Chennai,Jaipur,DEV0008543,152.13.170.95,SUCCESS,,SETTLED,N,30
TXN0000005581,ACC000011751,CUST0003329,2027-05-03 00:45:00,INTERNAL_TRANSFER,MOBILE,254979.25,INR,BEN0011556,Hyderabad,Kochi,DEV0005211,93.134.25.253,SUCCESS,,SETTLED,Y,100
TXN0000005738,ACC000008887,CUST0006649,2027-04-07 02:27:00,UPI,MOBILE,8218.51,EUR,BEN0008400,Hyderabad,Mumbai,DEV0001183,28.97.74.66,SUCCESS,,SETTLED,N,30
TXN0000005840,ACC000000102,CUST0001720,2027-12-11 04:42:00,UPI,MOBILE,898.27,INR,BEN0009434,Hyderabad,Bengaluru,DEV0007162,11.146.143.43,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000005890,ACC000006812,CUST0000051,2027-06-07 21:54:00,UPI,POS,12028.15,INR,BEN0003442,New Delhi,Lucknow,DEV0007596,35.161.158.178,SUCCESS,,SETTLED,N,30
TXN0000005944,ACC000006786,CUST0005219,2027-03-25 18:32:00,BILL_PAYMENT,ATM,7993.52,INR,BEN0004734,Bhubaneswar,New Delhi,DEV0008490,102.224.241.98,SUCCESS,,SETTLED,N,30
TXN0000007084,ACC000013362,CUST0009441,2027-07-06 08:03:00,IMPS,MOBILE,18306.17,INR,BEN0013950,Bengaluru,Mumbai,DEV0008155,68.118.120.180,SUCCESS,,SETTLED,N,50
TXN0000007461,ACC000009562,CUST0004215,2027-05-07 04:54:00,CARD_PURCHASE,MOBILE,20797.58,INR,BEN0006204,Jaipur,Mumbai,DEV0008811,51.176.8.202,SUCCESS,,SETTLED,N,30
TXN0000007569,ACC000004932,CUST0009202,2027-03-24 19:26:00,CARD_PURCHASE,MOBILE,16109.77,INR,BEN0012914,Kolkata,Lucknow,DEV0004425,66.227.99.104,SUCCESS,,PENDING,N,30
TXN0000007922,ACC000004652,CUST0006505,2027-11-03 21:11:00,UPI,MOBILE,2830.4,INR,BEN0008089,Mumbai,Chennai,DEV0008442,20.171.23.56,SUCCESS,,SETTLED,N,30
TXN0000002832,ACC000003909,CUST0002672,2027-09-06 10:42:00,CARD_PURCHASE,ATM,29562.89,INR,BEN0007832,New Delhi,Mumbai,DEV0001119,30.192.239.139,SUCCESS,,NOT_APPLICABLE,N,60
TXN0000008374,ACC000012111,CUST0003975,2027-09-19 08:12:00,UPI,INTERNET_BANKING,4031.98,INR,BEN0006884,Jaipur,Mumbai,DEV0004988,179.208.187.124,SUCCESS,,SETTLED,N,50
TXN0000009114,ACC000003412,CUST0001625,2027-05-27 03:34:00,INTERNAL_TRANSFER,INTERNET_BANKING,2458.88,INR,BEN0014789,Jaipur,Bengaluru,DEV0005118,95.67.230.98,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000009537,ACC000004857,CUSTX1547,2027-02-03 23:09:00,CARD_PURCHASE,MOBILE,3665.4,INR,BEN0013055,Indore,Kolkata,DEV0004928,111.204.217.230,FAILED,SERVICE_UNAVAILABLE,SETTLED,Y,75
TXN0000009923,ACC000006738,CUST0004312,2027-02-08 15:24:00,CARD_PURCHASE,MOBILE,21340.96,INR,BEN0004538,Jaipur,Jaipur,DEV0001133,37.208.115.57,SUCCESS,,FAILED,N,40
TXN0000010541,ACC000001918,CUST0007816,2027-11-13 17:39:00,CASH_DEPOSIT,MOBILE,6910.97,INR,BEN0014075,New Delhi,Bengaluru,DEV0011187,201.225.83.81,SUCCESS,,SETTLED,N,30
TXN0000011409,ACC000004199,CUST0004495,2027-11-21 00:22:00,ATM_WITHDRAWAL,MOBILE,4912.29,INR,BEN0014294,Chennai,Ahmedabad,DEV0005910,50.214.125.50,PENDING,DUPLICATE_TRANSACTION,SETTLED,N,50
TXN0000012046,ACC000002559,CUST0004685,2027-10-23 07:43:00,UPI,INTERNET_BANKING,1828.85,INR,BEN0004448,Indore,New Delhi,DEV0010523,195.174.238.156,SUCCESS,,PENDING,N,30
TXN0000012322,ACC000003613,CUST0001840,2027-03-17 11:04:00,UPI,MOBILE,6440.92,INR,BEN0001138,New Delhi,Mumbai,DEV0000282,64.35.143.229,SUCCESS,,SETTLED,N,20
TXN0000012324,ACC000005140,CUST0000700,2027-05-25 11:58:00,NEFT,API,10185.67,INR,BEN0011617,Jaipur,Bengaluru,DEV0003290,136.206.205.170,SUCCESS,,SETTLED,N,45
TXN0000012452,ACC000013312,CUST0006923,2027-12-18 07:56:00,UPI,BRANCH,1183.16,INR,BEN0014879,Ahmedabad,Mumbai,DEV0000860,203.235.103.11,SUCCESS,,SETTLED,N,20
TXN0000012569,ACC000010211,CUST0009144,2027-09-16 06:03:00,IMPS,MOBILE,6205.06,INR,BEN0004027,Kochi,Kochi,DEV0010599,201.108.38.98,SUCCESS,,SETTLED,N,40
TXN0000012600,ACC000012040,CUST0007323,2027-06-18 00:33:00,BILL_PAYMENT,ATM,2471.41,INR,BEN0007869,Bengaluru,Kolkata,DEV0011454,21.104.58.78,FAILED,DATABASE_ERROR,SETTLED,N,45
TXN0000013045,ACC000012034,CUST0005251,2027-07-22 19:21:00,INTERNAL_TRANSFER,MOBILE,13884.37,INR,BEN0006279,Bhubaneswar,Indore,DEV0004812,105.238.54.25,SUCCESS,,SETTLED,N,50
TXN0000013488,ACC000010019,CUST0002101,2027-05-02 10:23:00,BILL_PAYMENT,INTERNET_BANKING,8252.14,INR,BEN0007262,Lucknow,New Delhi,DEV0003975,174.99.78.251,SUCCESS,,NOT_APPLICABLE,N,40
TXN0000013883,ACC000000042,CUST0001934,2027-10-03 01:21:00,UPI,POS,678.98,EUR,BEN0010312,Ahmedabad,Bhubaneswar,DEV0008357,155.10.37.114,SUCCESS,,SETTLED,N,60
TXN0000013923,ACC000009230,CUST0003388,2027-05-16 14:46:00,CARD_PURCHASE,MOBILE,3102.16,INR,BEN0003311,Kochi,Hyderabad,DEV0000475,105.26.2.111,SUCCESS,,SETTLED,N,40
TXN0000015186,ACC000004354,CUST0009879,2027-05-02 04:06:00,ATM_WITHDRAWAL,POS,7419.76,INR,BEN0006190,Mumbai,Kochi,DEV0000193,213.188.62.77,SUCCESS,,SETTLED,N,30
TXN0000015890,ACC000008854,CUST0003395,2027-02-23 23:25:00,CASH_DEPOSIT,MOBILE,8903.57,INR,BEN0009002,Kochi,Jaipur,DEV0011273,178.215.226.37,SUCCESS,,SETTLED,N,30
TXN0000015924,ACC000006913,CUST0008617,2027-08-05 22:26:00,IMPS,MOBILE,33713.61,INR,BEN0011839,Hyderabad,New Delhi,DEV0008107,179.34.67.20,SUCCESS,,NOT_APPLICABLE,N,30
TXN0000016321,ACC000012594,CUST0002967,2027-07-22 14:37:00,UPI,POS,8510.17,INR,BEN0005504,Bhubaneswar,Hyderabad,DEV0005816,68.90.35.144,SUCCESS,,SETTLED,N,40
TXN0000017575,ACC000009612,CUST0003098,2027-12-01 14:20:00,UPI,INTERNET_BANKING,9544.9,INR,BEN0010767,Bengaluru,Bhubaneswar,DEV0000746,58.183.113.159,SUCCESS,,SETTLED,N,50
TXN0000017885,ACC000011929,CUST0003109,2027-10-08 17:05:00,BILL_PAYMENT,INTERNET_BANKING,136869.59,INR,BEN0006221,Chennai,Bhubaneswar,DEV0000252,87.219.194.89,SUCCESS,,SETTLED,N,40
TXN0000018328,ACC000000626,CUST0002693,2027-01-01 18:10:00,IMPS,INTERNET_BANKING,5103.69,INR,BEN0003188,Lucknow,Lucknow,DEV0008947,207.93.88.111,SUCCESS,,PENDING,N,40
TXN0000018640,ACC000006789,CUST0007511,2027-08-20 06:49:00,CARD_PURCHASE,INTERNET_BANKING,3194.76,INR,BEN0009458,Hyderabad,Bengaluru,DEV0005529,145.154.91.2,SUCCESS,,SETTLED,N,30
TXN0000018911,ACC000005746,CUST0004721,2027-11-23 15:39:00,CARD_PURCHASE,MOBILE,12133.26,INR,BEN0001951,Ahmedabad,Kolkata,DEV0003083,141.78.211.244,SUCCESS,,SETTLED,N,60
TXN0000019422,ACC000009694,CUST0003088,2027-07-23 04:15:00,ATM_WITHDRAWAL,POS,229.94,INR,BEN0004686,Chennai,Hyderabad,DEV0010192,58.40.171.3,FAILED,SERVICE_UNAVAILABLE,SETTLED,N,45
TXN0000021063,ACC000007145,CUST0004734,2027-09-03 09:01:00,UPI,ATM,836.18,INR,BEN0013542,Chennai,Chennai,DEV0007323,79.202.28.243,SUCCESS,,SETTLED,N,30
TXN0000022048,ACC000009726,CUST0006074,2027-05-28 07:57:00,IMPS,POS,2607.42,INR,BEN0014706,New Delhi,Ahmedabad,DEV0002707,68.59.74.86,SUCCESS,,SETTLED,N,50
TXN0000023508,ACC000008725,CUST0006474,2027-06-25 00:20:00,CASH_DEPOSIT,POS,10281.82,INR,BEN0012459,Bengaluru,Chennai,DEV0005143,114.32.153.48,SUCCESS,,SETTLED,N,30
TXN0000023652,ACC000009699,CUST0001837,2027-10-02 01:44:00,UPI,ATM,17950.35,INR,BEN0001887,Indore,Bhubaneswar,DEV0008098,90.155.234.241,SUCCESS,,SETTLED,N,50
TXN0000023818,ACC000012647,CUST0000497,2027-12-19 20:37:00,RTGS,POS,2468.0,INR,BEN0000895,Bhubaneswar,Kochi,DEV0003202,109.24.187.48,SUCCESS,,SETTLED,N,30
TXN0000024719,ACC000003177,CUST0002965,2027-06-07 05:16:00,NEFT,MOBILE,10587.88,INR,BEN0012114,Kolkata,Hyderabad,DEV0011804,98.65.70.43,SUCCESS,,SETTLED,N,30
