transaction_id,account_id,customer_id,transaction_datetime,transaction_type,transaction_channel,transaction_amount,currency,beneficiary_id,source_location,destination_location,device_id,ip_address,transaction_status,failure_reason,settlement_status,fraud_flag,seed_risk_score,risk_score,risk_level,risk_reasons
TXN0000000245,ACC000008828,CUST0006877,2026-06-30 15:38:01,CARD_PURCHASE,INTERNET_BANKING,3550.93,INR,BEN0010316,Kochi,Kolkata,DEV0011873,206.134.180.79,SUCCESS,,SETTLED,N,30,75,HIGH,Duplicate transaction ID detected; Account status is DORMANT or BLOCKED; Account is currently frozen; Customer flagged as HIGH risk category
TXN0000000369,ACC000008888,CUST0003422,2024-10-05 07:50:36,UPI,POS,34794.95,INR,BEN0010677,Bengaluru,Bengaluru,DEV0010663,144.184.14.171,SUCCESS,,SETTLED,N,10,75,HIGH,Duplicate transaction ID detected; Account status is DORMANT or BLOCKED; Account is currently frozen; Transaction amount is a statistical outlier for its transaction type
TXN0000000627,ACC000003326,CUST0005507,2023-11-24 20:26:06,INTERNAL_TRANSFER,BRANCH,-1594.0,INR,BEN0009881,Chennai,Chennai,DEV0009547,48.227.59.186,FAILED,KYC_BLOCK,SETTLED,N,55,70,HIGH,Duplicate transaction ID detected; Negative transaction amount; Customer flagged as HIGH risk category
TXN0000004719,ACC000010317,CUST0005926,2026-06-23 05:51:49,UPI,MOBILE,289242.77,INR,BEN0007444,Indore,Hyderabad,DEV0002729,190.68.2.18,SUCCESS,,SETTLED,Y,80,70,HIGH,Transaction executed against a closed account; Customer KYC status is not verified; High-value transaction combined with incomplete KYC verification; Transaction amount is a statistical outlier for its transaction type
TXN0000005581,ACC000011751,CUST0003329,2027-05-03 00:45:00,INTERNAL_TRANSFER,MOBILE,254979.25,INR,BEN0011556,Hyderabad,Kochi,DEV0005211,93.134.25.253,SUCCESS,,SETTLED,Y,100,75,HIGH,Transaction dated in the future; Customer flagged as HIGH risk category; Customer KYC status is not verified; High-value transaction combined with incomplete KYC verification; Transaction amount is a statistical outlier for its transaction type
TXN0000006456,ACC000007855,CUST0000757,2026-07-10 16:14:52,INTERNAL_TRANSFER,INTERNET_BANKING,-44879.31,INR,BEN0005777,Jaipur,New Delhi,DEV0004831,190.142.171.137,SUCCESS,,SETTLED,N,40,70,HIGH,Negative transaction amount; Account status is DORMANT or BLOCKED; Customer flagged as MEDIUM risk category; Transaction amount is a statistical outlier for its transaction type
TXN0000006874,ACC000004259,CUST0003904,2026-04-07 14:21:52,UPI,POS,-46754.52,INR,BEN0007526,Ahmedabad,Bhubaneswar,DEV0007046,46.96.120.51,SUCCESS,,SETTLED,Y,70,70,HIGH,Negative transaction amount; Customer flagged as HIGH risk category; Customer KYC status is not verified; Transaction amount is a statistical outlier for its transaction type
TXN0000007072,ACC000008828,CUST0006877,2024-02-05 10:26:34,BILL_PAYMENT,INTERNET_BANKING,6576.45,INR,BEN0001172,Kolkata,Bhubaneswar,DEV0001608,147.228.97.183,PENDING,AUTH_FAILURE,NOT_APPLICABLE,N,30,75,HIGH,Duplicate transaction ID detected; Account status is DORMANT or BLOCKED; Account is currently frozen; Customer flagged as HIGH risk category
TXN0000007128,ACC000014266,CUST0001957,2024-02-01 18:26:31,INTERNAL_TRANSFER,POS,-7476.62,INR,BEN0012324,Jaipur,New Delhi,DEV0000331,174.136.183.187,SUCCESS,,SETTLED,N,60,80,HIGH,Negative transaction amount; Account status is DORMANT or BLOCKED; Account is currently frozen; Customer flagged as MEDIUM risk category; Customer KYC status is not verified
TXN0000002832,ACC000003909,CUST0002672,2027-09-06 10:42:00,CARD_PURCHASE,ATM,29562.89,INR,BEN0007832,New Delhi,Mumbai,DEV0001119,30.192.239.139,SUCCESS,,NOT_APPLICABLE,N,60,75,HIGH,Duplicate transaction ID detected; Transaction dated in the future; Customer flagged as MEDIUM risk category; Customer KYC status is not verified; Transaction amount is a statistical outlier for its transaction type
TXN0000003875,ACC000008164,CUST0002041,2024-10-22 00:53:37,INTERNAL_TRANSFER,MOBILE,61431.15,INR,BEN0003680,New Delhi,New Delhi,DEV0001256,72.178.193.82,SUCCESS,,NOT_APPLICABLE,N,30,70,HIGH,Duplicate transaction ID detected; Transaction executed against a closed account; Transaction amount is a statistical outlier for its transaction type
TXN0000010610,ACC000005829,CUSTX8971,2024-08-23 21:21:53,CARD_PURCHASE,MOBILE,29912.84,INR,BEN0006680,Lucknow,Hyderabad,DEV0009585,27.246.119.233,SUCCESS,,SETTLED,Y,70,70,HIGH,Transaction executed against a closed account; Transaction customer does not match the account owner on record; Transaction amount is a statistical outlier for its transaction type
TXN0000010969,ACC000010345,CUST0009560,2024-04-05 16:28:32,ATM_WITHDRAWAL,MOBILE,-49319.56,INR,BEN0010382,Bengaluru,Lucknow,DEV0002508,138.84.178.198,FAILED,RATE_LIMIT,SETTLED,N,35,70,HIGH,Duplicate transaction ID detected; Negative transaction amount; Transaction amount is a statistical outlier for its transaction type
TXN0000012399,ACC000001171,CUST0009337,2025-06-12 19:09:21,BILL_PAYMENT,MOBILE,107255.5,INR,BEN0011308,Chennai,Bengaluru,DEV0006851,58.221.117.168,SUCCESS,,SETTLED,N,30,75,HIGH,Account status is DORMANT or BLOCKED; Account is currently frozen; Customer KYC status is not verified; High-value transaction combined with incomplete KYC verification; Transaction amount is a statistical outlier for its transaction type
TXN0000002116,ACC000010496,CUSTX4896,2023-11-21 17:19:20,UPI,MOBILE,68119.97,INR,BEN0013120,Jaipur,Kolkata,DEV0011023,87.95.242.244,SUCCESS,,SETTLED,Y,70,85,HIGH,Duplicate transaction ID detected; Transaction customer does not match the account owner on record; Account status is DORMANT or BLOCKED; Transaction amount is a statistical outlier for its transaction type
TXN0000016216,ACC000006341,CUST0000026,2023-05-12 05:12:22,NEFT,ATM,27457.55,INR,BEN0003751,Indore,Indore,DEV0009298,204.27.182.175,SUCCESS,,SETTLED,Y,70,70,HIGH,Transaction executed against a closed account; Customer flagged as HIGH risk category; Customer KYC status is not verified; Transaction amount is a statistical outlier for its transaction type
TXN0000016603,ACC000005774,CUSTX2104,2026-03-28 23:30:59,UPI,POS,63617.1,INR,BEN0012036,New Delhi,Jaipur,DEV0000076,110.69.163.120,SUCCESS,,SETTLED,Y,70,75,HIGH,Transaction customer does not match the account owner on record; Account status is DORMANT or BLOCKED; Account is currently frozen; Transaction amount is a statistical outlier for its transaction type
TXN0000022482,ACC000006560,CUST0003362,2024-02-25 03:56:14,UPI,MOBILE,-24074.31,INR,BEN0010910,Indore,Bhubaneswar,DEV0002339,128.249.45.241,SUCCESS,,FAILED,N,30,70,HIGH,Negative transaction amount; Account status is DORMANT or BLOCKED; Customer flagged as MEDIUM risk category; Transaction amount is a statistical outlier for its transaction type
